gamename,avg,gain,peak,avg_peak_perc
Temtem,1172.8,268.08,1791,65.483%
Ironsight,956.33,145.56,1895,50.466%
Fallout Shelter,1072.97,26.49,1544,69.4929%
CODE VEIN,1442.68,393.02,3497,41.2548%
Battle Brothers,1066.42,87.42,1658,64.3197%
Cossacks 3,824.68,102.11,2007,41.0902%
Rising Storm 2: Vietnam,1263.38,27.83,2287,55.2418%
KARDS - The WWII Card Game,903.74,-81.68,1434,63.0223%
Surviving Mars,1148.04,43.75,2438,47.0894%
Game of Thrones Winter is Coming,1011.28,64.98,1595,63.4031%
Project CARS 2,866.79,-26.27,1796,48.2622%
Governor of Poker 3,965.6,110.29,1612,59.9007%
Outward,1633.5,-133.58,4442,36.774%
FTL: Faster Than Light,1178.97,88.04,1833,64.3191%
Out of the Park Baseball 21,1240.65,64.06,1758,70.5717%
Metin2,1025.22,-18.54,1749,58.6175%
Rocksmith® 2014 Edition - Remastered,1031.91,101.31,1708,60.4163%
Train Sim World® 2,566.2,84.26,1467,38.5958%
War Robots,948.44,125.64,1461,64.9172%
Mass Effect: Andromeda,1093.22,-1.33,2682,40.7614%
Control Ultimate Edition,1258.96,-286.25,2900,43.4124%
Half-Life 2,1071.65,63.01,2086,51.3734%
TERA,726.29,149.61,1581,45.9386%
Cell to Singularity - Evolution Never Ends,1041.83,-246.87,1363,76.4365%
Half-Life: Alyx,1026.9,153.14,2252,45.5995%
PC Building Simulator,1223.23,260.5,2728,44.8398%
Cuphead,1243.06,84.5,2194,56.6572%
Yakuza: Like a Dragon,1924.26,-320.75,4397,43.763%
Divinity: Original Sin Enhanced Edition,940.31,65.35,2112,44.5223%
War Selection,675.72,92,1297,52.0987%
Dawn of Man,990.01,-103.88,1840,53.8049%
Wolcen: Lords of Mayhem,971.28,-1228.13,2256,43.0532%
F1 2019,887.74,-477.88,2288,38.7998%
Trailmakers,706.04,247.04,1640,43.0512%
Monster Train,1442.56,407.6,3271,44.1015%
Football Manager 2015,752.39,18.29,1332,56.4857%
FINAL FANTASY XV WINDOWS EDITION,1070.61,374.15,2009,53.2907%
Batman: Arkham Knight,1044.01,53.88,1786,58.4552%
Pro Cycling Manager 2020,601.08,20.74,1321,45.5019%
Golf It!,1206.2,204.11,2760,43.7029%
Deadside,1151.03,324.9,2600,44.2704%
Mafia III: Definitive Edition,696.25,134.66,1401,49.6966%
Fallout: New Vegas RU,676.17,130.98,1435,47.1199%
Wreckfest,977.42,104.44,2580,37.8845%
The Witcher 2: Assassins of Kings Enhanced Edition,902.12,19.02,2059,43.8135%
Wargame: Red Dragon,815.51,35.34,1314,62.0632%
Deceit,689.44,-77.1,1237,55.7348%
Idling to Rule the Gods,1057.22,142.74,1221,86.5864%
Pillars of Eternity II: Deadfire,1055.13,286.5,2204,47.8734%
Crush Crush,1251.75,6.3,2120,59.0448%
"Warhammer 40,000: Dawn of War - Soulstorm",842.94,64.83,1486,56.7254%
Ravenfield,911.21,31.23,1280,71.1883%
Avorion,991.34,179.54,1728,57.3692%
Far Cry 4,1092.44,250.66,2423,45.0863%
Black Mesa,1064,41.24,2510,42.3904%
Pavlov VR,1236.6,518.74,3213,38.4874%
Life is Feudal: Your Own,697.73,200.99,1425,48.9635%
The Witcher: Enhanced Edition,996.49,1.05,2465,40.4256%
PGA TOUR 2K21,765.05,-20.3,1525,50.1672%
The Outer Worlds,1392.95,-34.22,2989,46.6025%
BioShock Infinite,565.13,8.41,997,56.683%
Bloons TD Battles,867.47,180.43,1331,65.1743%
Teardown,662.3,-74.96,1417,46.7396%
Timberborn Demo,105.64,NA,180,58.6889%
RPG Maker MV,988.9,99.2,1240,79.75%
STAR WARS Knights of the Old Republic II: The Sith Lords,960.39,157.04,1678,57.2342%
Resident Evil 3,939.91,20.98,2340,40.1671%
Resident Evil 4,735.54,263.2,1703,43.1908%
UBOAT,763.42,199.46,1611,47.388%
Far Cry New Dawn,1212.76,283.93,2614,46.3948%
GTFO,1040.73,68.31,2343,44.4187%
This War of Mine,929.16,-142.89,1796,51.735%
RaceRoom Racing Experience,570.44,-56.32,1309,43.5783%
Tree of Savior (Japanese Ver.),926.6,57.08,1367,67.7835%
Post Scriptum,811.34,194.91,1787,45.4024%
Far Cry® 3,890.91,188.15,2046,43.544%
Graveyard Keeper,1280.95,-64.33,3138,40.8206%
CRSED,777.82,-262.92,1343,57.9166%
Terraforming Mars,670.17,69.47,1466,45.7142%
Steel Division 2,600.03,97.26,1362,44.0551%
Ultimate Epic Battle Simulator,699.31,584.74,10217,6.8446%
Resident Evil 6,676.08,223.98,1674,40.3871%
Phoenix Point: Year One Edition,1048.09,-1038.95,2444,42.8842%
Dishonored 2,825.43,-219.13,1531,53.9144%
Blood Bowl 2,689.17,103.24,1769,38.9582%
OVR Advanced Settings,823.44,158.61,1350,60.9956%
Motorsport Manager,868.03,-100.5,1996,43.4885%
A Way Out,541.17,207.08,2007,26.9641%
Tom Clancy's The Division,989.6,200.89,2077,47.6456%
Steep,270.7,-74.02,697,38.8379%
Action Taimanin,800.53,49.29,2539,31.5293%
Sins of a Solar Empire: Rebellion,748.38,54.1,1318,56.7815%
The Divine Paradox,325.73,-316.54,1385,23.5184%
rFactor 2,567.28,-38.22,1272,44.5975%
Rise of Nations: Extended Edition,771.35,28.74,1442,53.4917%
Idle Monster TD,808.19,239.7,1071,75.4613%
Danganronpa 2: Goodbye Despair,1098.04,217.01,1848,59.4177%
Ori and the Blind Forest: Definitive Edition,773.02,10.29,1807,42.7792%
Borderlands: The Pre-Sequel,505.91,29.07,946,53.4789%
Unrailed!,1276.52,1088.16,9651,13.2268%
Soccer Manager 2021,652.74,15.59,1187,54.9907%
DDraceNetwork,604.46,90.67,1304,46.3543%
Idle Wizard,910.34,-65.94,1077,84.5255%
Wasteland 3,1068.81,-65.74,2752,38.8376%
Stick Fight: The Game,1090.16,69.19,2694,40.4662%
Mindustry,925.95,-344.09,1565,59.1661%
Yakuza Kiwami 2,679.47,210.28,1083,62.7396%
Citadel: Forged With Fire,126.64,34.67,266,47.609%
Stream Avatars,890.4,166.18,1387,64.1961%
Digimon Masters Online,860.91,19.95,1493,57.6631%
DJMAX RESPECT V,760.75,96.61,2709,28.0823%
Dead Frontier 2,520.49,96.67,1567,33.2157%
MudRunner,771.88,-41.51,1729,44.6431%
Middle-earth: Shadow of Mordor,693.38,-143.32,1588,43.6637%
ShareX,804.5,23.94,1155,69.6537%
Counter-Strike Nexon: Studio,754.1,166.27,1462,51.58%
Mad Max,705.17,39.62,1368,51.5475%
<U+55DC><U+8840><U+5370> Bloody Spell,483.89,441.81,4226,11.4503%
Golf With Your Friends,1237.61,293.95,3448,35.8936%
Lobotomy Corporation,896.56,86.93,1989,45.0759%
Friday the 13th: The Game,1107.69,236.16,4318,25.6528%
<U+592A><U+543E><U+7ED8><U+5377> The Scroll Of Taiwu,998.41,37.9,2427,41.1376%
Left 4 Dead,608.2,8.45,1309,46.4629%
Ultimate Chicken Horse,609.29,155.39,1581,38.5383%
Feed and Grow: Fish,590.41,62.41,955,61.823%
Fisher Online,399.93,97.39,772,51.8044%
Sands of Salzaar,449.45,109.47,1439,31.2335%
Doki Doki Literature Club,732.17,82.06,972,75.3261%
Clone Drone in the Danger Zone,306.11,39.53,537,57.0037%
TerraTech,578.3,30.12,886,65.2709%
Cyber Hunter,537.71,2.33,816,65.8958%
Little Nightmares,879.31,543.95,19023,4.6224%
Sniper Ghost Warrior Contracts,753.45,283.06,2319,32.4903%
Bloons Monkey City,437.75,101.84,681,64.2805%
Soulworker,2240.93,-847.83,5310,42.2021%
Subsistence,736.46,262.87,1343,54.8369%
Gears 5,991.95,-301.13,2386,41.5738%
Quake Champions,517.11,18.47,1046,49.4369%
Age of Wonders III,488.53,28.56,937,52.1377%
Stronghold Kingdoms,556.12,-9.31,847,65.6576%
Baldur's Gate II: Enhanced Edition,491.26,1.29,854,57.5246%
Railway Empire,526.01,44.63,1114,47.2181%
Resident Evil 5,560.83,208.14,1309,42.8442%
Imperator: Rome,546.61,5.96,960,56.9385%
Football Manager 2012,412.44,11.89,761,54.1971%
Borderless Gaming,618,52.39,765,80.7843%
Mass Effect,327.98,3.41,714,45.9356%
The Elder Scrolls III: Morrowind,558.85,118.94,998,55.997%
SimCity 4 Deluxe,489.79,8.58,888,55.1565%
Dungeon Defenders II,499.87,43.2,847,59.0165%
F1 2012,91.98,-15.62,243,37.8519%
Farming Simulator 2013,36.27,-0.56,76,47.7237%
Football Manager 2014,565.17,17.25,1004,56.2918%
F1 2014,68.64,-25,198,34.6667%
Construction-Simulator 2015,133.3,-9.9,386,34.5337%
Car Mechanic Simulator 2015,99.28,-86.09,229,43.3537%
F1 2015,45.79,-20.71,113,40.5221%
Pro Evolution Soccer 2016,56.5,-1.95,127,44.4882%
F1 2016,51.4,-17.46,142,36.1972%
Pro Evolution Soccer 2017,121.22,-10.31,238,50.9328%
F1 2017,113.26,-38.27,290,39.0552%
F1 2018,428.8,-184.75,1037,41.35%
Farm Manager 2018,184.66,92.21,546,33.8205%
Deus Ex: Mankind Divided,619.24,-84.68,1413,43.8245%
SYNTHETIK,520.33,-78.97,1015,51.264%
Lost Castle,338.44,35.8,1075,31.4828%
Digimon Story Cyber Sleuth: Complete Edition,680.64,268.77,1304,52.1963%
CosmicBreak Universal,800.85,NA,1984,40.3654%
Sven Co-op,458.23,115.15,897,51.0847%
Marvel Puzzle Quest,420.24,-1.61,690,60.9043%
Torchlight II,547.47,96.52,1099,49.8153%
Sleeping Dogs: Definitive Edition,460.48,-158.57,887,51.9143%
Wolfenstein II: The New Colossus,599.23,-145.92,1456,41.1559%
OCTOPATH TRAVELER,835.25,363.97,1981,42.163%
S.T.A.L.K.E.R.: Shadow of Chernobyl,437.17,83.93,987,44.2928%
Call of Duty: Modern Warfare 2,425.8,-1.94,762,55.8793%
Getting Over It with Bennett Foddy,498.26,89.86,898,55.4855%
DC Universe Online,534.13,94.66,896,59.6127%
NBA 2K18,282.55,26.75,591,47.8088%
Danganronpa: Trigger Happy Havoc,895.58,108.71,2003,44.7119%
Outlast,402.98,52.45,1345,29.9613%
Curious Expedition 2,210.88,165.59,1081,19.5079%
The Elder Scrolls: Legends,309.94,4.81,482,64.3029%
Kingdoms Reborn,306.33,-102.35,769,39.8349%
DEAD OR ALIVE Xtreme Venus Vacation [JP],309.4,35.59,990,31.2525%
Hacknet,429.94,-20.32,564,76.2305%
Farming Simulator 15,201.3,3.47,409,49.2176%
Plants vs. Zombies: Battle for Neighborville,356.91,1.43,823,43.367%
Desperados III,517.43,-33.71,1377,37.5766%
Terraria,34045.3,5187.03,47087,72.303%
Left 4 Dead 2,19585.17,1255.14,34475,56.8098%
The Witcher 3: Wild Hunt,20702.44,-439.25,42783,48.3894%
Life is Strange,538.85,-42.65,1278,42.1635%
Z1 Battle Royale,201.86,2.9,412,48.9951%
Don't Starve Together,20806.9,1271.98,42565,48.8827%
Counter-Strike: Source,4458.15,397.71,8270,53.9075%
Monster Hunter: World,30795.24,4984.79,56758,54.2571%
Cities: Skylines,18333.54,3460.74,33199,55.2232%
Fallout: New Vegas,6706.38,2482.77,13448,49.869%
No Man's Sky,6639.96,-51.1,12707,52.2543%
Space Engineers,7566.44,618.36,12876,58.7639%
Saints Row IV,431.57,-212.67,1005,42.9423%
Age of Empires II (2013),5911.26,89.35,11568,51.1001%
Killing Floor,344.09,19.72,662,51.9773%
Portal,625.32,-23.36,1294,48.3246%
Chivalry: Medieval Warfare,182.79,6.35,385,47.4779%
Castle Crashers,910.18,-114.02,2177,41.8089%
Rise of the Tomb Raider,1751.84,22.92,3982,43.994%
No More Room in Hell,555.39,143.16,1005,55.2627%
BattleBlock Theater,383.38,25.68,1066,35.9644%
Goat Simulator,136.19,7.69,291,46.8007%
Hotline Miami,201.58,39.29,571,35.303%
Saints Row: The Third,550.02,-174.83,1227,44.8264%
Divinity: Original Sin 2,10235.86,1313.73,20036,51.0873%
Dirty Bomb,178.7,7.13,370,48.2973%
The Binding of Isaac,389.5,162.36,1159,33.6066%
To the Moon,66.85,-2.05,225,29.7111%
Dishonored,608.48,-64.41,1203,50.5802%
Battlerite,363.91,-11.78,1042,34.9242%
Ring of Elysium,1346.57,174.67,2603,51.7315%
NieR:Automata,2147.56,830.25,4530,47.4075%
POSTAL 2,265.45,-41.76,494,53.7348%
South Park: The Stick of Truth,309.43,-91.88,911,33.966%
PAYDAY: The Heist,35.01,2.28,71,49.3099%
Just Cause 2,219.66,-41.47,442,49.6968%
Firewatch,120.05,-17.05,381,31.5092%
Spec Ops: The Line,77.74,-11.39,181,42.9503%
Brothers - A Tale of Two Sons,32.51,13.26,448,7.2567%
The Stanley Parable,83.29,8.05,212,39.2877%
Mafia II (Classic),288.8,14.69,643,44.9145%
Everlasting Summer,383.81,71.31,732,52.4331%
Broforce,288.03,-2.03,672,42.8616%
LIMBO,91.61,-1.25,238,38.4916%
DARK SOULS II,335.21,-24.09,695,48.2317%
"Star Wars: Battlefront 2 (Classic, 2005)",509.44,-9.83,1020,49.9451%
Metro 2033 Redux,465.95,-63.18,1212,38.4447%
Bastion,84.03,-6,183,45.918%
Half-Life,788.97,54.63,1612,48.9435%
Game Dev Tycoon,223.88,-7.56,429,52.1865%
Rising Storm/Red Orchestra 2 Multiplayer,343.9,38.08,615,55.9187%
Grand Theft Auto: San Andreas,1408.41,194.52,2712,51.9325%
Wolfenstein: The New Order,446.11,-80.54,1086,41.0783%
Slay the Spire,8104.45,825.23,11077,73.1647%
Elite Dangerous,8736.24,219.19,14466,60.3915%
Batman: Arkham City GOTY,489.86,26.02,898,54.5501%
Emily is Away,13.91,1.14,33,42.1515%
Besiege,469.77,62.96,731,64.264%
Call of Duty: Black Ops II,167.33,-24.99,298,56.151%
"Papers, Please",411.46,91.12,743,55.3782%
American Truck Simulator,6278.93,-426.66,10927,57.4625%
Resident Evil 2,1557.17,457.18,3600,43.2547%
Alien: Isolation,281.28,-14.52,608,46.2632%
Slime Rancher,1774.44,-100.17,3800,46.6958%
Fistful of Frags,154.05,8.99,284,54.243%
Metro: Last Light Redux,538.46,-10.47,1343,40.0938%
Hitman: Absolution,303.4,29.31,606,50.066%
Battlefield: Bad Company 2,217.19,-7.85,484,44.874%
Alan Wake,118.68,8.15,213,55.7183%
Risk of Rain,126.34,23.47,294,42.9728%
Depth,141.71,3.78,423,33.5012%
Transistor,65.44,-10.41,173,37.8266%
ORION: Prelude,16.01,4.06,41,39.0488%
Verdun,154.81,-4.24,369,41.9539%
Hotline Miami 2: Wrong Number,255.45,11.27,432,59.1319%
Life is Strange: Before the Storm,166.28,-3.79,413,40.2615%
Max Payne 3,258.14,-9.46,657,39.2907%
Sekiro: Shadows Die Twice,4585.57,-142.86,9449,48.5297%
Mortal Kombat X,400.81,-34.34,1006,39.8419%
Mirror,811.53,190.54,2774,29.2549%
The Wolf Among Us,73.25,-12.06,203,36.0837%
Cry of Fear,234.1,97.83,1381,16.9515%
Totally Accurate Battlegrounds,427.9,-59.85,1010,42.3663%
Magicka,109.08,13.36,355,30.7268%
Watch_Dogs 2,677.84,-145.85,1681,40.3236%
SpeedRunners,430.51,43.85,1233,34.9157%
Awesomenauts,221.71,26.7,410,54.0756%
Batman: Arkham Origins,372.38,6.09,823,45.2467%
Batman: Arkham Asylum GOTY Edition,320.24,2.96,692,46.2775%
Hellblade: Senua's Sacrifice,145.75,-13.89,388,37.5644%
Amnesia: The Dark Descent,82.54,1.24,194,42.5464%
APB Reloaded,341.34,56.73,690,49.4696%
Super Hexagon,24.45,0.53,49,49.898%
INSIDE,134.04,-29.88,381,35.1811%
Call of Duty: World at War,785.25,-9.72,1206,65.1119%
The Plan,4.67,-0.06,12,38.9167%
Creativerse,333.11,-6.94,632,52.7073%
Shadow Warrior,48.32,2.73,116,41.6552%
A Story About My Uncle,52.85,-23,395,13.3797%
Risk of Rain 2,7120.88,1823.83,12044,59.1239%
Mirror's Edge,101.06,-4.11,231,43.7489%
Prey,499.64,-30.84,1016,49.1772%
HuniePop,315.04,31.18,634,49.6909%
Fallout 3 - Game of the Year Edition,245.25,-0.84,432,56.7708%
Arma 2: Operation Arrowhead,438.12,29.58,871,50.3008%
Devil May Cry 5,1912.24,-752.09,4409,43.3713%
DiRT Rally,355.03,-22.46,680,52.2103%
Alien Swarm,47.34,14.47,106,44.6604%
Miscreated,376.43,2.22,661,56.9486%
The Talos Principle,210.2,-4.04,534,39.3633%
Spintires®,287.86,-143.51,853,33.7468%
ICEY,22.35,0.11,89,25.1124%
Blood and Bacon,60.46,5.01,171,35.3567%
Duck Game,522.41,-20.84,1146,45.5855%
Magic Duels,86.92,-1.53,138,62.9855%
SOMA,88.37,-6.12,202,43.7475%
Trine 2,138.24,42.16,345,40.0696%
NEKOPARA Vol. 1,146.59,2.41,318,46.0975%
BLOCKADE 3D,17.35,0.32,58,29.9138%
Five Nights at Freddy's,83.83,8.43,150,55.8867%
Spiral Knights,219.53,6.37,360,60.9806%
Valiant Hearts: The Great War / Soldats Inconnus : Mémoires de la Grande Guerre,32.37,-5.24,118,27.4322%
ABZU,19.55,1.33,45,43.4444%
Stranded Deep,747.84,205.91,1397,53.5319%
Serious Sam 3: BFE,137.72,-13.2,420,32.7905%
Hurtworld,614.16,42.88,1330,46.1774%
TEKKEN 7,3932.38,-199.45,6982,56.3217%
Assetto Corsa,4629.38,230.29,8585,53.9241%
Scrap Mechanic,3272.42,354.96,6576,49.7631%
Watch_Dogs,188.43,-36.03,424,44.441%
The Expendabros,43.27,-0.58,99,43.7071%
Dust: An Elysian Tail,23.12,-0.29,62,37.2903%
Ryse: Son of Rome,92.27,-42.84,229,40.2926%
Hero Siege,381.62,-135.29,734,51.9918%
Call of Duty: Ghosts,62.31,-4.31,142,43.8803%
Assassin's Creed II,527.1,16.61,1453,36.2767%
SUPERHOT,110.96,26.08,238,46.6218%
DmC Devil May Cry,91.16,-10.12,218,41.8165%
Layers of Fear,73.31,0.83,167,43.8982%
Day of Infamy,125.8,-16.12,262,48.0153%
Tales from the Borderlands,12.47,2.42,28,44.5357%
Skullgirls 2nd Encore,168.6,-0.53,386,43.6788%
Call of Duty: Black Ops,424.77,-28.93,727,58.4278%
One Finger Death Punch,18.35,-1.31,39,47.0513%
Crypt of the NecroDancer,134.97,-25.83,215,62.7767%
L.A. Noire,220.6,7.02,497,44.3863%
A Hat in Time,374.66,19.44,854,43.8712%
Warhammer: End Times - Vermintide,91.63,25.61,244,37.5533%
Half-Life 2: Episode Two,228.67,30.23,454,50.3678%
Iron Snout,32.67,0.49,57,57.3158%
Rogue Legacy,90.24,-4.95,177,50.9831%
Age of Empires® III (2007),1270.12,-47.31,2273,55.8786%
Infestation: The New Z,551.73,13.3,911,60.5631%
METAL GEAR RISING: REVENGEANCE,165.18,-0.84,385,42.9039%
Gang Beasts,442.47,6.12,1242,35.6256%
Call of Duty: Advanced Warfare,52.29,-1.31,108,48.4167%
Town of Salem,789.47,105.65,1269,62.212%
Orcs Must Die! 2,186.58,-19.71,511,36.5127%
Tabletop Simulator,8538.25,1668.78,21781,39.2004%
HELLDIVERS,272.84,22.61,776,35.1598%
Deus Ex: Human Revolution - Director's Cut,445.99,-86.11,1059,42.1143%
How to Survive,28.73,3.31,65,44.2%
Guns of Icarus Online,15.31,-1.8,61,25.0984%
Dragon's Dogma: Dark Arisen,824.7,2.29,1387,59.4593%
Brütal Legend,36.65,0.84,83,44.1566%
The Beginner's Guide,9.88,0.48,29,34.069%
Sniper Elite 3,307.21,-5.29,784,39.1849%
DRAGON BALL XENOVERSE,62.66,-1.81,177,35.4011%
VA-11 Hall-A: Cyberpunk Bartender Action,176.04,-9.92,428,41.1308%
Just Cause 2: Multiplayer Mod,40.25,-4.34,115,35%
Antichamber,30.54,-4.19,100,30.54%
Dino D-Day,8.29,-2.11,33,25.1212%
Counter-Strike: Condition Zero,499.36,19.69,910,54.8747%
The Darkness II,37.34,2.7,74,50.4595%
GRID 2,225.77,-75.58,620,36.4145%
Sakura Clicker,110.44,6.15,151,73.1391%
Refunct,7.18,-1.45,20,35.9%
Gone Home,9.02,1.33,33,27.3333%
NEKOPARA Vol. 0,41.26,1.45,112,36.8393%
FINAL FANTASY VII,474.28,71.4,881,53.8343%
Sanctum 2,47.67,4.13,125,38.136%
The Escapists,80.19,7.16,189,42.4286%
STAR WARS: Knights of the Old Republic,820.58,134,1554,52.8044%
Pillars of Eternity,792.9,98.97,1745,45.4384%
Codename CURE,36.47,3.85,72,50.6528%
ShellShock Live,682.58,128.45,1364,50.0425%
Need for Speed: Hot Pursuit,101.65,-3.79,187,54.3583%
Surgeon Simulator,26.62,-0.48,69,38.5797%
Tricolour Lovestory,115.25,21.7,312,36.9391%
World of Guns: Gun Disassembly,150.21,15.31,214,70.1916%
Toribash,110.77,9.54,204,54.299%
Empyrion - Galactic Survival,2747.76,551.03,4620,59.4753%
Hyper Light Drifter,41.94,0.02,89,47.1236%
OneShot,69.23,5.81,146,47.4178%
Mountain,96.28,-1.4,147,65.4966%
Chinese Parents,326.23,56.52,673,48.474%
Block N Load,36.15,2.11,102,35.4412%
Portal Knights,312.09,35.86,644,48.4612%
Shadow of the Tomb Raider,1699.6,61.72,3930,43.2468%
Outlast 2,261.65,36.35,1145,22.8515%
Call of Duty: WWII,233.52,-27.25,450,51.8933%
My Time At Portia,1983.91,334.27,3647,54.3984%
Dungeon Defenders,452.81,152.6,982,46.111%
Mass Effect 2,310.76,29.31,608,51.1118%
FEZ,28.76,3.49,58,49.5862%
100% Orange Juice,303.89,-4.16,614,49.4935%
The Evil Within,231.65,7.54,441,52.5283%
What Remains of Edith Finch,54.11,-20.67,161,33.6087%
Day of Defeat: Source,487.76,31.38,1023,47.6794%
Thief,168.34,-23.13,517,32.5609%
Bad Rats,20.28,-1.08,42,48.2857%
Gunpoint,11.64,0.29,37,31.4595%
Quantum Break,107.44,-3.55,261,41.1648%
Quake Live,318.59,23.11,582,54.7405%
The Room,83.38,-6.18,246,33.8943%
S.T.A.L.K.E.R.: Call of Pripyat,353.9,74.92,731,48.4131%
Shadow Warrior 2,179.15,15.64,505,35.4752%
Eternal Senia,5.21,0.76,16,32.5625%
Montaro,10.84,-3.23,79,13.7215%
Tom Clancy's Splinter Cell Blacklist,148.25,0.53,349,42.4785%
Endless Legend,618.12,214.68,2052,30.1228%
Survarium,254.05,13.8,511,49.7162%
Child of Light,24.39,-3.32,65,37.5231%
Beholder,105.77,-7.34,316,33.4715%
Artifact,37.17,-0.91,76,48.9079%
Fallout 3,53.37,-0.65,102,52.3235%
Bendy and the Ink Machine,101.62,10.21,273,37.2234%
Yet Another Zombie Defense,14.13,1.14,48,29.4375%
Moonbase Alpha,9.29,1.63,26,35.7308%
"Warhammer 40,000: Space Marine",127.4,-2.81,261,48.8123%
Grand Theft Auto: Vice City,415.17,37.95,806,51.5099%
Hand Simulator,299.87,17.12,847,35.4038%
Who's Your Daddy?!,102.26,15.29,265,38.5887%
The Banner Saga,76.98,9.01,184,41.837%
Burnout Paradise: The Ultimate Box,40.35,-4.07,84,48.0357%
Nuclear Throne,193.38,12.07,290,66.6828%
Business Tour - Online Multiplayer Board Game,1245.31,219.86,3923,31.7438%
Kingdom: Classic,127.2,-43.27,231,55.0649%
Darwin Project,52.14,-2.14,134,38.9104%
Sid Meier's Civilization: Beyond Earth,493.2,3.14,909,54.2574%
DRAGON BALL XENOVERSE 2,963.17,76.01,1854,51.9509%
Shadow Tactics: Blades of the Shogun,452.29,201.91,1144,39.5358%
The Crew,33.66,-5.06,89,37.8202%
Mitos.is: The Game,63.3,-0.09,125,50.64%
Aliens vs. Predator,80.67,12.68,161,50.1056%
Trine,96.47,32.73,258,37.3915%
Saints Row 2,110.21,-11.21,200,55.105%
RAGE,76.71,-1.67,177,43.339%
Car Mechanic Simulator 2018,1802.15,381.23,3549,50.7791%
Blackwake,551.76,429.3,3352,16.4606%
Pony Island,12.27,-0.14,35,35.0571%
Shovel Knight: Treasure Trove,115.23,-12.75,244,47.2254%
Far Cry® 3 Blood Dragon,40.02,7.38,130,30.7846%
Gotham City Impostors: Free To Play,22.98,4.3,56,41.0357%
Double Action: Boogaloo,16.11,3.77,49,32.8776%
Defiance,39.8,-5.09,80,49.75%
Hyperdimension Neptunia Re;Birth1,54.34,6.7,89,61.0562%
Dead Space,238,-3.82,500,47.6%
Contagion,42.99,10.93,111,38.7297%
Remember Me,25.91,-1.83,70,37.0143%
Resident Evil Revelations 2,218.5,67.8,614,35.5863%
Spooky's Jump Scare Mansion,39.13,9.12,78,50.1667%
LEGO® Worlds,161.71,6.62,382,42.3325%
WARMODE,31.38,3.13,66,47.5455%
Deadlight,4.41,-0.09,14,31.5%
Dungeons 3,246.22,3.4,609,40.4302%
Dead Space 2,176.92,5.11,317,55.8107%
The Evil Within 2,272.89,-25.92,592,46.0963%
Bayonetta,159.11,2.22,303,52.5116%
Valkyria Chronicles,71.99,8.48,129,55.8062%
RWBY: Grimm Eclipse,12.34,-2.49,35,35.2571%
Dragon Age: Origins - Ultimate Edition,726.59,56.45,1524,47.6765%
LEGO® MARVEL Super Heroes,279.59,1.6,627,44.5917%
Injustice: Gods Among Us Ultimate Edition,83.53,-5.27,181,46.1492%
Tropico 4,183.3,-0.2,367,49.9455%
Call of Duty 4: Modern Warfare,426.34,108.87,877,48.6135%
Shadowrun Returns,53.78,-15.56,125,43.024%
NEKOPARA Vol. 2,46.74,0.42,95,49.2%
Sonic Mania,156.61,-0.9,351,44.6182%
MURDERED: SOUL SUSPECT,29.6,-8.18,88,33.6364%
Star Conflict,244.78,24.19,453,54.0353%
Move or Die,130.38,-8.31,596,21.8758%
Project CARS,192.16,30.47,422,45.5355%
Detention,20.75,-0.65,65,31.9231%
We Were Here,164.71,-0.39,427,38.5738%
World War 3,13.08,-0.99,44,29.7273%
Kingdoms of Amalur: Reckoning,84.74,9.15,166,51.0482%
Bully: Scholarship Edition,171.79,14.35,413,41.5956%
Zombie Army Trilogy,156.32,-3.55,455,34.356%
Far Cry Primal,523.18,134.08,1299,40.2756%
Natural Selection 2,200.99,27.34,508,39.565%
BRAIN / OUT,151.6,6.34,308,49.2208%
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,11.77,-0.44,31,37.9677%
TrackMania Nations Forever,344.64,64.02,724,47.6022%
Ultra Street Fighter IV,181.73,15.89,278,65.3705%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,77.98,-0.24,160,48.7375%
